tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.4	209.6	18.4	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:12:26		6.34e-07	5.764e-02	2.20e-09	2.84e-09	3.17e-09	8	273	D6A-2046a_LP-DIR-AF-48	LT-AF-Z:LP-DIR-AF	g	47	pmagpy-4.4.0	D6A-2046a	u	2.000e-02	0	0.00	0.00	11	273
	This study		0.4	213.6	21.6	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:14:00		5.95e-07	5.409e-02	2.12e-09	2.92e-09	3.07e-09	8	273	D6A-2046a_LP-DIR-AF-49	LT-AF-Z:LP-DIR-AF	g	48	pmagpy-4.4.0	D6A-2046a	u	2.250e-02	0	0.00	0.00	12	273
	This study		0.4	217.9	24.6	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:15:35		5.56e-07	5.055e-02	2.03e-09	2.68e-09	2.58e-09	8	273	D6A-2046a_LP-DIR-AF-50	LT-AF-Z:LP-DIR-AF	g	49	pmagpy-4.4.0	D6A-2046a	u	2.500e-02	0	0.00	0.00	13	273
	This study		0.4	215.3	26.1	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:17:10		5.42e-07	4.927e-02	2.36e-09	2.76e-09	2.37e-09	8	273	D6A-2046a_LP-DIR-AF-51	LT-AF-Z:LP-DIR-AF	g	50	pmagpy-4.4.0	D6A-2046a	u	2.750e-02	0	0.00	0.00	14	273
	This study		0.4	216.2	26.9	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:18:45		4.95e-07	4.500e-02	1.57e-09	2.77e-09	2.24e-09	8	273	D6A-2046a_LP-DIR-AF-52	LT-AF-Z:LP-DIR-AF	g	51	pmagpy-4.4.0	D6A-2046a	u	3.000e-02	0	0.00	0.00	15	273
	This study		0.5	216.2	27.6	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:20:20		4.38e-07	3.982e-02	2.34e-09	2.40e-09	2.04e-09	8	273	D6A-2046a_LP-DIR-AF-53	LT-AF-Z:LP-DIR-AF	g	52	pmagpy-4.4.0	D6A-2046a	u	3.500e-02	0	0.00	0.00	16	273
	This study		0.5	222.0	31.2	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:21:55		4.00e-07	3.636e-02	2.09e-09	2.37e-09	2.21e-09	8	273	D6A-2046a_LP-DIR-AF-54	LT-AF-Z:LP-DIR-AF	g	53	pmagpy-4.4.0	D6A-2046a	u	4.000e-02	0	0.00	0.00	17	273
	This study		0.5	218.2	28.7	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:23:30		4.01e-07	3.645e-02	2.62e-09	2.45e-09	2.13e-09	8	273	D6A-2046a_LP-DIR-AF-55	LT-AF-Z:LP-DIR-AF	g	54	pmagpy-4.4.0	D6A-2046a	u	4.500e-02	0	0.00	0.00	18	273
	This study		0.5	217.3	30.3	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:25:04		3.38e-07	3.073e-02	2.07e-09	2.09e-09	2.02e-09	8	273	D6A-2046a_LP-DIR-AF-56	LT-AF-Z:LP-DIR-AF	g	55	pmagpy-4.4.0	D6A-2046a	u	5.000e-02	0	0.00	0.00	19	273
	This study		0.5	220.7	28.4	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:26:39		3.30e-07	3.000e-02	1.59e-09	2.02e-09	1.56e-09	8	273	D6A-2046a_LP-DIR-AF-57	LT-AF-Z:LP-DIR-AF	g	56	pmagpy-4.4.0	D6A-2046a	u	5.500e-02	0	0.00	0.00	20	273
	This study		0.7	220.5	34.9	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:28:13		3.04e-07	2.764e-02	2.22e-09	2.04e-09	2.28e-09	8	273	D6A-2046a_LP-DIR-AF-58	LT-AF-Z:LP-DIR-AF	g	57	pmagpy-4.4.0	D6A-2046a	u	6.000e-02	0	0.00	0.00	21	273
	This study		0.6	222.4	37.0	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:29:48		2.85e-07	2.591e-02	2.01e-09	2.05e-09	1.58e-09	8	273	D6A-2046a_LP-DIR-AF-59	LT-AF-Z:LP-DIR-AF	g	58	pmagpy-4.4.0	D6A-2046a	u	6.500e-02	0	0.00	0.00	22	273
	This study		0.7	225.5	28.8	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:31:22		2.88e-07	2.618e-02	7.87e-10	1.63e-09	3.10e-09	8	273	D6A-2046a_LP-DIR-AF-60	LT-AF-Z:LP-DIR-AF	g	59	pmagpy-4.4.0	D6A-2046a	u	7.000e-02	0	0.00	0.00	23	273
	This study		0.6	221.7	32.5	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:32:56		2.82e-07	2.564e-02	2.09e-09	1.83e-09	1.55e-09	8	273	D6A-2046a_LP-DIR-AF-61	LT-AF-Z:LP-DIR-AF	g	60	pmagpy-4.4.0	D6A-2046a	u	7.500e-02	0	0.00	0.00	24	273
	This study		0.6	223.3	27.7	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:34:31		2.59e-07	2.355e-02	1.84e-09	1.55e-09	1.92e-09	8	273	D6A-2046a_LP-DIR-AF-62	LT-AF-Z:LP-DIR-AF	g	61	pmagpy-4.4.0	D6A-2046a	u	8.000e-02	0	0.00	0.00	25	273
	This study		0.6	232.6	34.9	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:36:05		2.69e-07	2.445e-02	1.74e-09	1.79e-09	1.75e-09	8	273	D6A-2046a_LP-DIR-AF-63	LT-AF-Z:LP-DIR-AF	g	62	pmagpy-4.4.0	D6A-2046a	u	8.500e-02	0	0.00	0.00	26	273
	This study		0.5	221.8	33.0	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:37:40		2.67e-07	2.427e-02	1.63e-09	1.75e-09	8.92e-10	8	273	D6A-2046a_LP-DIR-AF-64	LT-AF-Z:LP-DIR-AF	g	63	pmagpy-4.4.0	D6A-2046a	u	9.000e-02	0	0.00	0.00	27	273
	This study		0.8	220.3	26.2	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:39:14		2.21e-07	2.009e-02	1.40e-09	1.80e-09	2.29e-09	8	273	D6A-2046a_LP-DIR-AF-65	LT-AF-Z:LP-DIR-AF	g	64	pmagpy-4.4.0	D6A-2046a	u	9.500e-02	0	0.00	0.00	28	273
	This study		0.6	214.3	24.8	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:40:49		2.21e-07	2.009e-02	1.62e-09	1.56e-09	1.56e-09	8	273	D6A-2046a_LP-DIR-AF-66	LT-AF-Z:LP-DIR-AF	g	65	pmagpy-4.4.0	D6A-2046a	u	1.000e-01	0	0.00	0.00	29	273
	This study		0.6	222.0	32.5	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:42:25		2.54e-07	2.309e-02	1.92e-09	1.63e-09	1.72e-09	8	273	D6A-2046a_LP-DIR-AF-67	LT-AF-Z:LP-DIR-AF	g	66	pmagpy-4.4.0	D6A-2046a	u	1.050e-01	0	0.00	0.00	30	273
	This study		0.7	218.4	30.1	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:44:01		2.03e-07	1.845e-02	1.51e-09	1.49e-09	1.47e-09	8	273	D6A-2046a_LP-DIR-AF-68	LT-AF-Z:LP-DIR-AF	g	67	pmagpy-4.4.0	D6A-2046a	u	1.100e-01	0	0.00	0.00	31	273
	This study		0.8	219.5	31.0	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:45:37		2.04e-07	1.855e-02	1.60e-09	1.69e-09	1.86e-09	8	273	D6A-2046a_LP-DIR-AF-69	LT-AF-Z:LP-DIR-AF	g	68	pmagpy-4.4.0	D6A-2046a	u	1.150e-01	0	0.00	0.00	32	273
	This study		0.6	211.1	26.5	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:47:13		1.86e-07	1.691e-02	1.71e-09	1.50e-09	4.49e-10	8	273	D6A-2046a_LP-DIR-AF-70	LT-AF-Z:LP-DIR-AF	g	69	pmagpy-4.4.0	D6A-2046a	u	1.200e-01	0	0.00	0.00	33	273
	This study		0.6	215.9	29.6	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:48:49		1.67e-07	1.518e-02	1.19e-09	1.35e-09	7.59e-10	8	273	D6A-2046a_LP-DIR-AF-71	LT-AF-Z:LP-DIR-AF	g	70	pmagpy-4.4.0	D6A-2046a	u	1.250e-01	0	0.00	0.00	34	273
	This study		0.7	217.5	39.4	D6A-2046a_LP-DIR-AF	hargrave 2026-07-23 19:50:26		1.64e-07	1.491e-02	1.56e-09	1.57e-09	7.13e-10	8	273	D6A-2046a_LP-DIR-AF-72	LT-AF-Z:LP-DIR-AF	g	71	pmagpy-4.4.0	D6A-2046a	u	1.300e-01	0	0.00	0.00	35	273
	This study		0.7	174.8	09.8	D6A-2076a_LP-DIR-AF	hargrave 2026-07-23 14:19:56	2.368e-03	6.75e-05	6.136e+00	1.32e-06	8.26e-07	4.07e-07	8	273	D6A-2076a_LP-DIR-AF-73	LT-NO:LP-DIR-AF	g	72	pmagpy-4.4.0	D6A-2076a	u	0	0	0.00	0.00	0	273
