tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1025a_LP-DIR-AF-65	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.5	 54.1 	 9.500e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-22 19:35:44	LT-AF-Z:LP-DIR-AF	g	64	u	8	273			pmagpy-4.4.0	5.02e-06	5.26e-08	5.33e-08	3.93e-08
D6A-1025a_LP-DIR-AF-66	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.4	 52.5 	 1.000e-01	0	0.00	0.00	29	273	This study	hargrave 2026-07-22 19:37:20	LT-AF-Z:LP-DIR-AF	g	65	u	8	273			pmagpy-4.4.0	4.78e-06	4.99e-08	5.07e-08	3.82e-08
D6A-1025a_LP-DIR-AF-67	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.4	 53.8 	 1.050e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-22 19:38:56	LT-AF-Z:LP-DIR-AF	g	66	u	8	273			pmagpy-4.4.0	4.51e-06	4.24e-08	4.82e-08	3.61e-08
D6A-1025a_LP-DIR-AF-68	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.7	 54.2 	 1.100e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-22 19:40:32	LT-AF-Z:LP-DIR-AF	g	67	u	8	273			pmagpy-4.4.0	4.22e-06	4.46e-08	4.49e-08	3.36e-08
D6A-1025a_LP-DIR-AF-69	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	136.4	 53.2 	 1.150e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-22 19:42:08	LT-AF-Z:LP-DIR-AF	g	68	u	8	273			pmagpy-4.4.0	3.98e-06	4.19e-08	4.27e-08	3.19e-08
D6A-1025a_LP-DIR-AF-70	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.0	 53.5 	 1.200e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-22 19:43:46	LT-AF-Z:LP-DIR-AF	g	69	u	8	273			pmagpy-4.4.0	3.62e-06	3.93e-08	3.82e-08	2.99e-08
D6A-1025a_LP-DIR-AF-71	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	138.2	 53.4 	 1.250e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-22 19:45:23	LT-AF-Z:LP-DIR-AF	g	70	u	8	273			pmagpy-4.4.0	3.32e-06	3.64e-08	3.55e-08	2.65e-08
D6A-1025a_LP-DIR-AF-72	D6A-1025a	D6A-1025a_LP-DIR-AF	    0.6	137.4	 52.4 	 1.300e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-22 19:47:00	LT-AF-Z:LP-DIR-AF	g	71	u	8	273			pmagpy-4.4.0	3.08e-06	3.40e-08	3.27e-08	2.50e-08
D6A-1108a_LP-DIR-AF-73	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.6	158.9	-08.3 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 16:56:32	LT-NO:LP-DIR-AF	g	72	u	8	273			pmagpy-4.4.0	2.15e-05	2.55e-07	1.94e-07	1.14e-07
D6A-1108a_LP-DIR-AF-74	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.6	156.5	-08.2 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-22 16:58:06	LT-AF-Z:LP-DIR-AF	g	73	u	8	273			pmagpy-4.4.0	2.01e-05	2.39e-07	1.67e-07	1.05e-07
