tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1249a_LP-DIR-AF-235	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	096.7	 19.2 	 3.500e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-23 11:44:40	LT-AF-Z:LP-DIR-AF	g	234	u	8	273			pmagpy-4.4.0	1.26e-08	1.28e-10	3.61e-11	8.79e-11
D6A-1249a_LP-DIR-AF-236	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.9	093.3	 20.8 	 4.000e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-23 11:46:15	LT-AF-Z:LP-DIR-AF	g	235	u	8	273			pmagpy-4.4.0	1.22e-08	1.51e-10	6.37e-11	1.10e-10
D6A-1249a_LP-DIR-AF-237	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.8	104.5	 25.5 	 4.500e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-23 11:47:50	LT-AF-Z:LP-DIR-AF	g	236	u	8	273			pmagpy-4.4.0	9.75e-09	1.33e-10	1.12e-11	4.24e-11
D6A-1249a_LP-DIR-AF-238	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.0	106.8	 29.7 	 5.000e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-23 11:49:25	LT-AF-Z:LP-DIR-AF	g	237	u	8	273			pmagpy-4.4.0	9.98e-09	1.44e-10	1.75e-11	8.72e-11
D6A-1249a_LP-DIR-AF-239	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.9	088.3	 13.4 	 5.500e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-23 11:51:00	LT-AF-Z:LP-DIR-AF	g	238	u	8	273			pmagpy-4.4.0	1.10e-08	1.45e-10	6.48e-11	8.01e-11
D6A-1249a_LP-DIR-AF-240	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.9	115.5	 16.3 	 6.000e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-23 11:52:35	LT-AF-Z:LP-DIR-AF	g	239	u	8	273			pmagpy-4.4.0	7.70e-09	9.87e-11	3.92e-11	4.97e-11
D6A-1249a_LP-DIR-AF-241	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.7	090.6	 19.0 	 6.500e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-23 11:54:10	LT-AF-Z:LP-DIR-AF	g	240	u	8	273			pmagpy-4.4.0	8.86e-09	1.01e-10	5.95e-11	3.31e-11
D6A-1249a_LP-DIR-AF-242	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.8	087.0	 16.0 	 7.000e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-23 11:55:46	LT-AF-Z:LP-DIR-AF	g	241	u	8	273			pmagpy-4.4.0	7.70e-09	9.43e-11	7.27e-11	2.03e-11
D6A-1249a_LP-DIR-AF-243	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.9	119.0	 05.4 	 7.500e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-23 11:57:21	LT-AF-Z:LP-DIR-AF	g	242	u	8	273			pmagpy-4.4.0	8.18e-09	9.52e-11	7.04e-11	5.73e-11
D6A-1249a_LP-DIR-AF-244	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.9	097.1	 10.3 	 8.000e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-23 11:58:56	LT-AF-Z:LP-DIR-AF	g	243	u	8	273			pmagpy-4.4.0	5.46e-09	8.31e-11	6.39e-11	1.51e-11
D6A-1249a_LP-DIR-AF-245	D6A-1249a	D6A-1249a_LP-DIR-AF	    0.9	091.0	 17.8 	 8.500e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-23 12:00:31	LT-AF-Z:LP-DIR-AF	g	244	u	8	273			pmagpy-4.4.0	7.16e-09	9.35e-11	3.08e-11	5.75e-11
D6A-1249a_LP-DIR-AF-246	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.7	104.0	 34.9 	 9.000e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-23 12:02:07	LT-AF-Z:LP-DIR-AF	g	245	u	8	273			pmagpy-4.4.0	4.85e-09	1.15e-10	1.43e-10	1.83e-11
D6A-1249a_LP-DIR-AF-247	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.1	093.0	 18.9 	 9.500e-02	0	0.00	0.00	29	273	This study	hargrave 2026-07-23 12:03:42	LT-AF-Z:LP-DIR-AF	g	246	u	8	273			pmagpy-4.4.0	6.96e-09	1.03e-10	6.02e-11	7.51e-11
D6A-1249a_LP-DIR-AF-248	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.3	121.8	 32.0 	 1.000e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-23 12:05:18	LT-AF-Z:LP-DIR-AF	g	247	u	8	273			pmagpy-4.4.0	6.27e-09	1.27e-10	4.44e-11	6.31e-11
D6A-1249a_LP-DIR-AF-249	D6A-1249a	D6A-1249a_LP-DIR-AF	    2.3	102.3	 41.8 	 1.050e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-23 12:06:53	LT-AF-Z:LP-DIR-AF	g	248	u	8	273			pmagpy-4.4.0	4.29e-09	1.28e-10	1.33e-10	3.84e-11
D6A-1249a_LP-DIR-AF-250	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.5	116.7	 20.5 	 1.100e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-23 12:08:30	LT-AF-Z:LP-DIR-AF	g	249	u	8	273			pmagpy-4.4.0	3.81e-09	8.33e-11	5.90e-11	4.53e-11
D6A-1249a_LP-DIR-AF-251	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.2	094.5	 20.5 	 1.150e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-23 12:10:06	LT-AF-Z:LP-DIR-AF	g	250	u	8	273			pmagpy-4.4.0	5.74e-09	9.23e-11	3.71e-11	6.74e-11
D6A-1249a_LP-DIR-AF-252	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.8	056.2	 14.4 	 1.200e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-23 12:11:42	LT-AF-Z:LP-DIR-AF	g	251	u	8	273			pmagpy-4.4.0	4.55e-09	1.17e-10	1.64e-10	4.02e-11
D6A-1249a_LP-DIR-AF-253	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.1	082.0	 26.5 	 1.250e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-23 12:13:19	LT-AF-Z:LP-DIR-AF	g	252	u	8	273			pmagpy-4.4.0	5.82e-09	9.56e-11	3.78e-11	5.30e-11
D6A-1249a_LP-DIR-AF-254	D6A-1249a	D6A-1249a_LP-DIR-AF	    1.7	076.5	 28.9 	 1.300e-01	0	0.00	0.00	36	273	This study	hargrave 2026-07-23 12:14:56	LT-AF-Z:LP-DIR-AF	g	253	u	8	273			pmagpy-4.4.0	4.57e-09	7.99e-11	6.80e-11	9.88e-11
D6A-1264a_LP-DIR-AF-255	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	194.2	 38.0 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 14:40:31	LT-NO:LP-DIR-AF	g	254	u	8	273			pmagpy-4.4.0	8.76e-08	6.89e-10	6.69e-10	5.99e-10
D6A-1264a_LP-DIR-AF-256	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.3	193.8	 38.7 	0	0	0.00	0.00	1	273	This study	hargrave 2026-07-23 12:17:53	LT-NO:LP-DIR-AF	g	255	u	8	273			pmagpy-4.4.0	8.72e-08	5.51e-10	1.82e-09	5.61e-10
D6A-1264a_LP-DIR-AF-257	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	194.0	 38.3 	 1.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-23 12:19:29	LT-AF-Z:LP-DIR-AF	g	256	u	8	273			pmagpy-4.4.0	8.79e-08	5.40e-10	6.27e-10	7.09e-10
D6A-1264a_LP-DIR-AF-258	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	193.0	 37.6 	 2.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-23 12:21:03	LT-AF-Z:LP-DIR-AF	g	257	u	8	273			pmagpy-4.4.0	8.81e-08	5.21e-10	6.22e-10	6.72e-10
D6A-1264a_LP-DIR-AF-259	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	192.0	 36.9 	 3.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-23 12:22:38	LT-AF-Z:LP-DIR-AF	g	258	u	8	273			pmagpy-4.4.0	8.77e-08	5.41e-10	8.41e-10	6.53e-10
D6A-1264a_LP-DIR-AF-260	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	190.9	 36.5 	 4.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-23 12:24:13	LT-AF-Z:LP-DIR-AF	g	259	u	8	273			pmagpy-4.4.0	8.79e-08	5.49e-10	8.85e-10	6.46e-10
D6A-1264a_LP-DIR-AF-261	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	190.5	 36.1 	 5.000e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-23 12:25:47	LT-AF-Z:LP-DIR-AF	g	260	u	8	273			pmagpy-4.4.0	8.77e-08	5.36e-10	8.68e-10	6.20e-10
D6A-1264a_LP-DIR-AF-262	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	189.4	 35.6 	 7.500e-03	0	0.00	0.00	7	273	This study	hargrave 2026-07-23 12:27:21	LT-AF-Z:LP-DIR-AF	g	261	u	8	273			pmagpy-4.4.0	8.60e-08	5.15e-10	8.67e-10	5.93e-10
D6A-1264a_LP-DIR-AF-263	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	189.0	 35.4 	 1.000e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-23 12:28:55	LT-AF-Z:LP-DIR-AF	g	262	u	8	273			pmagpy-4.4.0	8.39e-08	4.90e-10	8.58e-10	5.92e-10
D6A-1264a_LP-DIR-AF-264	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	188.8	 35.3 	 1.250e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-23 12:30:30	LT-AF-Z:LP-DIR-AF	g	263	u	8	273			pmagpy-4.4.0	8.16e-08	4.55e-10	8.50e-10	5.72e-10
D6A-1264a_LP-DIR-AF-265	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	188.7	 34.6 	 1.500e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-23 12:32:05	LT-AF-Z:LP-DIR-AF	g	264	u	8	273			pmagpy-4.4.0	7.93e-08	4.11e-10	8.33e-10	5.58e-10
D6A-1264a_LP-DIR-AF-266	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	188.6	 34.7 	 1.750e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-23 12:33:40	LT-AF-Z:LP-DIR-AF	g	265	u	8	273			pmagpy-4.4.0	7.70e-08	4.81e-10	8.21e-10	5.46e-10
D6A-1264a_LP-DIR-AF-267	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	187.5	 34.6 	 2.000e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-23 12:35:14	LT-AF-Z:LP-DIR-AF	g	266	u	8	273			pmagpy-4.4.0	7.47e-08	6.18e-10	8.11e-10	5.34e-10
D6A-1264a_LP-DIR-AF-268	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	187.2	 33.6 	 2.250e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-23 12:36:49	LT-AF-Z:LP-DIR-AF	g	267	u	8	273			pmagpy-4.4.0	7.30e-08	8.47e-10	3.42e-10	5.31e-10
D6A-1264a_LP-DIR-AF-269	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	188.8	 34.0 	 2.500e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-23 12:38:23	LT-AF-Z:LP-DIR-AF	g	268	u	8	273			pmagpy-4.4.0	7.05e-08	8.41e-10	3.56e-10	4.98e-10
D6A-1264a_LP-DIR-AF-270	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	189.7	 33.6 	 2.750e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-23 12:39:58	LT-AF-Z:LP-DIR-AF	g	269	u	8	273			pmagpy-4.4.0	6.84e-08	8.26e-10	3.65e-10	4.77e-10
D6A-1264a_LP-DIR-AF-271	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.7	190.4	 34.0 	 3.000e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-23 12:41:33	LT-AF-Z:LP-DIR-AF	g	270	u	8	273			pmagpy-4.4.0	6.57e-08	6.97e-10	3.84e-10	4.53e-10
D6A-1264a_LP-DIR-AF-272	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	189.9	 33.7 	 3.500e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-23 12:43:07	LT-AF-Z:LP-DIR-AF	g	271	u	8	273			pmagpy-4.4.0	6.22e-08	6.10e-10	4.94e-10	4.42e-10
D6A-1264a_LP-DIR-AF-273	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.8	190.1	 32.9 	 4.000e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-23 12:44:42	LT-AF-Z:LP-DIR-AF	g	272	u	8	273			pmagpy-4.4.0	5.88e-08	6.09e-10	4.60e-10	4.05e-10
D6A-1264a_LP-DIR-AF-274	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.9	189.6	 33.2 	 4.500e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-23 12:46:16	LT-AF-Z:LP-DIR-AF	g	273	u	8	273			pmagpy-4.4.0	5.47e-08	6.61e-10	4.65e-10	4.13e-10
D6A-1264a_LP-DIR-AF-275	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.9	190.2	 33.1 	 5.000e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-23 12:47:51	LT-AF-Z:LP-DIR-AF	g	274	u	8	273			pmagpy-4.4.0	5.22e-08	6.98e-10	4.74e-10	4.10e-10
D6A-1264a_LP-DIR-AF-276	D6A-1264a	D6A-1264a_LP-DIR-AF	    0.9	190.3	 32.9 	 5.500e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-23 12:49:25	LT-AF-Z:LP-DIR-AF	g	275	u	8	273			pmagpy-4.4.0	4.88e-08	5.67e-10	4.75e-10	3.72e-10
D6A-1264a_LP-DIR-AF-277	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.1	188.5	 31.4 	 6.000e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-23 12:50:59	LT-AF-Z:LP-DIR-AF	g	276	u	8	273			pmagpy-4.4.0	4.63e-08	4.91e-10	6.86e-10	3.80e-10
D6A-1264a_LP-DIR-AF-278	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.0	188.1	 31.1 	 6.500e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-23 12:52:34	LT-AF-Z:LP-DIR-AF	g	277	u	8	273			pmagpy-4.4.0	4.30e-08	7.61e-10	3.97e-10	3.71e-10
D6A-1264a_LP-DIR-AF-279	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.1	188.2	 30.4 	 7.000e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-23 12:54:08	LT-AF-Z:LP-DIR-AF	g	278	u	8	273			pmagpy-4.4.0	4.13e-08	7.84e-10	4.17e-10	3.59e-10
D6A-1264a_LP-DIR-AF-280	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.3	187.3	 29.7 	 7.500e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-23 12:55:42	LT-AF-Z:LP-DIR-AF	g	279	u	8	273			pmagpy-4.4.0	3.78e-08	8.19e-10	5.88e-10	3.41e-10
D6A-1264a_LP-DIR-AF-281	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.4	187.1	 30.3 	 8.000e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-23 12:57:16	LT-AF-Z:LP-DIR-AF	g	280	u	8	273			pmagpy-4.4.0	3.57e-08	7.89e-10	6.13e-10	3.15e-10
D6A-1264a_LP-DIR-AF-282	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.3	187.0	 30.3 	 8.500e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-23 12:58:51	LT-AF-Z:LP-DIR-AF	g	281	u	8	273			pmagpy-4.4.0	3.38e-08	5.12e-10	6.30e-10	2.98e-10
D6A-1264a_LP-DIR-AF-283	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.4	187.1	 28.5 	 9.000e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-23 13:00:25	LT-AF-Z:LP-DIR-AF	g	282	u	8	273			pmagpy-4.4.0	3.19e-08	5.29e-10	6.41e-10	2.93e-10
D6A-1264a_LP-DIR-AF-284	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.0	188.0	 26.3 	 9.500e-02	0	0.00	0.00	29	273	This study	hargrave 2026-07-23 13:02:00	LT-AF-Z:LP-DIR-AF	g	283	u	8	273			pmagpy-4.4.0	2.98e-08	5.18e-10	2.97e-10	2.95e-10
D6A-1264a_LP-DIR-AF-285	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.0	186.3	 24.7 	 1.000e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-23 13:03:35	LT-AF-Z:LP-DIR-AF	g	284	u	8	273			pmagpy-4.4.0	2.90e-08	5.13e-10	2.98e-10	2.85e-10
D6A-1264a_LP-DIR-AF-286	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.1	186.4	 24.7 	 1.050e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-23 13:05:10	LT-AF-Z:LP-DIR-AF	g	285	u	8	273			pmagpy-4.4.0	2.71e-08	5.55e-10	2.88e-10	2.73e-10
D6A-1264a_LP-DIR-AF-287	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.2	186.7	 23.6 	 1.100e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-23 13:06:46	LT-AF-Z:LP-DIR-AF	g	286	u	8	273			pmagpy-4.4.0	2.50e-08	6.25e-10	2.99e-10	2.71e-10
D6A-1264a_LP-DIR-AF-288	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.0	185.4	 26.1 	 1.150e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-23 13:08:22	LT-AF-Z:LP-DIR-AF	g	287	u	8	273			pmagpy-4.4.0	2.40e-08	6.44e-10	2.84e-10	7.97e-11
D6A-1264a_LP-DIR-AF-289	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.1	185.8	 24.3 	 1.200e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-23 13:09:59	LT-AF-Z:LP-DIR-AF	g	288	u	8	273			pmagpy-4.4.0	2.30e-08	6.98e-10	3.03e-10	8.18e-11
D6A-1264a_LP-DIR-AF-290	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.2	187.2	 24.3 	 1.250e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-23 13:11:35	LT-AF-Z:LP-DIR-AF	g	289	u	8	273			pmagpy-4.4.0	2.28e-08	7.21e-10	2.92e-10	8.97e-11
D6A-1264a_LP-DIR-AF-291	D6A-1264a	D6A-1264a_LP-DIR-AF	    1.3	186.8	 25.6 	 1.300e-01	0	0.00	0.00	36	273	This study	hargrave 2026-07-23 13:13:13	LT-AF-Z:LP-DIR-AF	g	290	u	8	273			pmagpy-4.4.0	2.07e-08	7.62e-10	2.79e-10	9.19e-11
D6A-1286a_LP-DIR-AF-292	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	181.2	 33.3 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 15:15:17	LT-NO:LP-DIR-AF	g	291	u	8	273			pmagpy-4.4.0	1.91e-05	1.38e-07	1.55e-07	8.11e-08
D6A-1286a_LP-DIR-AF-293	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	180.4	 35.0 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-22 15:18:45	LT-AF-Z:LP-DIR-AF	g	292	u	8	273			pmagpy-4.4.0	1.81e-05	1.23e-07	1.38e-07	7.70e-08
D6A-1286a_LP-DIR-AF-294	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	180.2	 39.6 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-22 15:22:12	LT-AF-Z:LP-DIR-AF	g	293	u	8	273			pmagpy-4.4.0	1.58e-05	1.10e-07	1.33e-07	7.06e-08
D6A-1286a_LP-DIR-AF-295	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	180.5	 44.7 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-22 15:25:40	LT-AF-Z:LP-DIR-AF	g	294	u	8	273			pmagpy-4.4.0	1.40e-05	1.01e-07	1.23e-07	6.78e-08
D6A-1286a_LP-DIR-AF-296	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	180.8	 48.8 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-22 15:29:11	LT-AF-Z:LP-DIR-AF	g	295	u	8	273			pmagpy-4.4.0	1.28e-05	9.42e-08	1.14e-07	6.68e-08
D6A-1286a_LP-DIR-AF-297	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	181.0	 50.8 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-22 15:32:39	LT-AF-Z:LP-DIR-AF	g	296	u	8	273			pmagpy-4.4.0	1.23e-05	9.00e-08	1.09e-07	6.56e-08
D6A-1286a_LP-DIR-AF-298	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	180.7	 53.0 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-22 15:36:07	LT-AF-Z:LP-DIR-AF	g	297	u	8	273			pmagpy-4.4.0	1.14e-05	8.34e-08	1.00e-07	6.42e-08
D6A-1286a_LP-DIR-AF-299	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	180.0	 53.5 	 1.000e-02	0	0.00	0.00	7	273	This study	hargrave 2026-07-22 15:39:36	LT-AF-Z:LP-DIR-AF	g	298	u	8	273			pmagpy-4.4.0	1.10e-05	7.86e-08	9.25e-08	6.27e-08
D6A-1286a_LP-DIR-AF-300	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	179.5	 53.3 	 1.250e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-22 15:43:03	LT-AF-Z:LP-DIR-AF	g	299	u	8	273			pmagpy-4.4.0	1.06e-05	7.52e-08	8.74e-08	6.13e-08
D6A-1286a_LP-DIR-AF-301	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	178.6	 53.1 	 1.500e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-22 15:46:31	LT-AF-Z:LP-DIR-AF	g	300	u	8	273			pmagpy-4.4.0	1.03e-05	7.34e-08	8.53e-08	5.94e-08
D6A-1286a_LP-DIR-AF-302	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	178.1	 52.6 	 1.750e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-22 15:49:58	LT-AF-Z:LP-DIR-AF	g	301	u	8	273			pmagpy-4.4.0	1.01e-05	7.14e-08	8.22e-08	5.83e-08
D6A-1286a_LP-DIR-AF-303	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	177.5	 52.5 	 2.000e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-22 15:53:25	LT-AF-Z:LP-DIR-AF	g	302	u	8	273			pmagpy-4.4.0	9.92e-06	7.07e-08	7.93e-08	5.62e-08
D6A-1286a_LP-DIR-AF-304	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	176.5	 52.1 	 2.250e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-22 15:56:53	LT-AF-Z:LP-DIR-AF	g	303	u	8	273			pmagpy-4.4.0	9.70e-06	6.97e-08	7.77e-08	5.50e-08
D6A-1286a_LP-DIR-AF-305	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.4	176.0	 51.8 	 2.500e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-22 16:00:19	LT-AF-Z:LP-DIR-AF	g	304	u	8	273			pmagpy-4.4.0	9.52e-06	5.74e-08	6.91e-08	5.42e-08
D6A-1286a_LP-DIR-AF-306	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	175.4	 51.5 	 2.750e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-22 16:03:47	LT-AF-Z:LP-DIR-AF	g	305	u	8	273			pmagpy-4.4.0	9.33e-06	6.75e-08	7.31e-08	5.39e-08
D6A-1286a_LP-DIR-AF-307	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	174.6	 51.3 	 3.000e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-22 16:05:22	LT-AF-Z:LP-DIR-AF	g	306	u	8	273			pmagpy-4.4.0	9.11e-06	6.48e-08	7.41e-08	5.11e-08
D6A-1286a_LP-DIR-AF-308	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	174.0	 51.0 	 3.500e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-22 16:08:51	LT-AF-Z:LP-DIR-AF	g	307	u	8	273			pmagpy-4.4.0	8.74e-06	6.35e-08	6.98e-08	5.07e-08
D6A-1286a_LP-DIR-AF-309	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	173.7	 50.7 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-22 16:12:18	LT-AF-Z:LP-DIR-AF	g	308	u	8	273			pmagpy-4.4.0	8.37e-06	6.01e-08	6.69e-08	4.84e-08
D6A-1286a_LP-DIR-AF-310	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	172.8	 50.4 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-22 16:15:45	LT-AF-Z:LP-DIR-AF	g	309	u	8	273			pmagpy-4.4.0	7.91e-06	5.80e-08	6.26e-08	4.75e-08
D6A-1286a_LP-DIR-AF-311	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	172.4	 50.5 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-22 16:19:11	LT-AF-Z:LP-DIR-AF	g	310	u	8	273			pmagpy-4.4.0	7.47e-06	5.41e-08	5.92e-08	4.54e-08
D6A-1286a_LP-DIR-AF-312	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	171.4	 50.3 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-22 16:22:38	LT-AF-Z:LP-DIR-AF	g	311	u	8	273			pmagpy-4.4.0	7.01e-06	5.18e-08	5.61e-08	4.35e-08
D6A-1286a_LP-DIR-AF-313	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	169.1	 50.3 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-22 16:26:05	LT-AF-Z:LP-DIR-AF	g	312	u	8	273			pmagpy-4.4.0	6.54e-06	4.95e-08	5.42e-08	4.00e-08
D6A-1286a_LP-DIR-AF-314	D6A-1286a	D6A-1286a_LP-DIR-AF	    0.5	167.4	 50.3 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-22 16:29:32	LT-AF-Z:LP-DIR-AF	g	313	u	8	273			pmagpy-4.4.0	6.08e-06	4.61e-08	4.93e-08	3.87e-08
