tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.6	168.8	79.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:30:08	1.237e-04	3.27e-06	2.973e-01	2.04e-08	2.51e-08	3.07e-08	8	273	D6A-1465a_LP-DIR-AF-41	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.4.0	D6A-1465a	u	3.000e-03	0	0.00	0.00	4	273
	This study		0.6	160.1	80.0	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:33:34	9.191e-05	2.43e-06	2.209e-01	1.53e-08	1.92e-08	2.55e-08	8	273	D6A-1465a_LP-DIR-AF-42	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.4.0	D6A-1465a	u	4.000e-03	0	0.00	0.00	5	273
	This study		0.7	146.0	80.9	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:37:01	6.884e-05	1.82e-06	1.655e-01	1.19e-08	1.50e-08	2.18e-08	8	273	D6A-1465a_LP-DIR-AF-43	LT-AF-Z:LP-DIR-AF	g	42	pmagpy-4.4.0	D6A-1465a	u	5.000e-03	0	0.00	0.00	6	273
	This study		0.8	082.3	77.4	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:40:27	3.374e-05	8.92e-07	8.109e-02	6.19e-09	7.70e-09	1.65e-08	8	273	D6A-1465a_LP-DIR-AF-44	LT-AF-Z:LP-DIR-AF	g	43	pmagpy-4.4.0	D6A-1465a	u	7.500e-03	0	0.00	0.00	7	273
	This study		1.2	061.2	65.9	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:43:53	1.918e-05	5.07e-07	4.609e-02	5.66e-09	5.13e-09	1.65e-08	8	273	D6A-1465a_LP-DIR-AF-45	LT-AF-Z:LP-DIR-AF	g	44	pmagpy-4.4.0	D6A-1465a	u	1.000e-02	0	0.00	0.00	8	273
	This study		2.2	052.6	49.0	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:47:20	1.267e-05	3.35e-07	3.045e-02	6.75e-09	4.97e-09	1.67e-08	8	273	D6A-1465a_LP-DIR-AF-46	LT-AF-Z:LP-DIR-AF	g	45	pmagpy-4.4.0	D6A-1465a	u	1.250e-02	0	0.00	0.00	9	273
	This study		3.3	037.8	31.4	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:50:46	9.644e-06	2.55e-07	2.318e-02	7.00e-09	5.28e-09	1.68e-08	8	273	D6A-1465a_LP-DIR-AF-47	LT-AF-Z:LP-DIR-AF	g	46	pmagpy-4.4.0	D6A-1465a	u	1.500e-02	0	0.00	0.00	10	273
	This study		4.6	033.6	17.1	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:54:13	8.018e-06	2.12e-07	1.927e-02	7.14e-09	5.08e-09	1.74e-08	8	273	D6A-1465a_LP-DIR-AF-48	LT-AF-Z:LP-DIR-AF	g	47	pmagpy-4.4.0	D6A-1465a	u	1.750e-02	0	0.00	0.00	11	273
	This study		5.1	027.6	-00.3	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 16:57:40	7.905e-06	2.09e-07	1.900e-02	7.30e-09	5.32e-09	1.70e-08	8	273	D6A-1465a_LP-DIR-AF-49	LT-AF-Z:LP-DIR-AF	g	48	pmagpy-4.4.0	D6A-1465a	u	2.000e-02	0	0.00	0.00	12	273
	This study		5.1	016.2	-12.4	D6A-1465a_LP-DIR-AF	hargrave 2026-07-24 17:01:07	7.980e-06	2.11e-07	1.918e-02	6.91e-09	5.03e-09	1.70e-08	8	273	D6A-1465a_LP-DIR-AF-50	LT-AF-Z:LP-DIR-AF	g	49	pmagpy-4.4.0	D6A-1465a	u	2.250e-02	0	0.00	0.00	13	273
