sample name, footage, sample type, Severson unit, Severson description, rock type, sulfide (%), our description, group, lithologies, geologic classes, geologic types, method codes, age, age sigma, age low, age high, age unit, age citation, mass a (g), mass b (g), mass c (g), mass d (g), chip c note, chip d note, thick section
D6A-1342, 1342, quarter core, U1, PIC w/ T bnd (HET mix of PIC/ORT/T), picrite and troctolite mix, 1, 1.4 to 2 mm grain size with very small (1 mm) sulfides, Ultramafic, Picrite:Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 32.762852, 0.17661, 0.15586, , , , yes
D6A-1338, 1338, quarter core, U1, PIC w/ T bnd (HET mix of PIC/ORT/T), troctolite with some picrite, 1, 0.3 to 0.5 cm grain size with small CL drops (0.2 cm), Ultramafic, Troctolite:Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 25.20867, 0.18559, 0.11135, , , , 
D6A-1322, 1322, quarter core, U1, PIC w/ T bnd + x-cutting ORT/PIC patches, troctolite with some picrite, 1, 0.2 to 0.4 cm grain size with generally small sulfides but 1 up to 0.5 cm, Ultramafic, Troctolite:Picrite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 27.52738, 0.2198, 0.15308, , , , 
D6A-1301, 1301, full core core, U1, TROCT w/ ORT/PIC bnds/irregular patches, troctolite, 3, 1 to 1.4 mm grain size with sepentinization throughout but mainly centered in small veins at the top of the core section, Ultramafic, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 35.93396, 0.21233, , , , , yes
D6A-1286, 1286, fill core core, MAIN AGT, TROCT w ORT/PIC bnds/irregular patches, troctolite, 1, 0.3 to 0.5 cm grain size on average with nice olivines and augite, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.991159, 0.14686, , , , , 
D6A-1264, 1264, quarter core, MAIN AGT, AGT HOMOG/HORNBLENDITE (OUIS) w granophyric sections, hornblendite, 1, 0.3 to 1 cm grain size with ~65% hornblende (some up to 1 cm in size) and max. 1% oxides, AGT, Hornblendite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 19.160311, 0.10561, 0.12934, 0.03922, , hornblende chip, 
D6A-1249, 1249, quarter core, MAIN AGT, AGT HOMOG/HORNBLENDITE (OUIS) w granophyric sections, hornblendite, 1, 0.3 to 0.7 cm grain size that fines upward in the core section, AGT, Hornblendite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 25.42589, 0.13304, 0.05898, , , , yes
D6A-1236, 1236, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.5 to 0.7 cm grain size with large area of serpentinization from a planar vein and a 1 cm talc crystal, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 27.784491, 0.11796, 0.13343, 0.02086, , serpentine chip, 
D6A-1215, 1215, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.3 to 0.5 cm grain size with little to no serpetinization, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.853359, 0.14428, , , , , 
D6A-1196, 1196, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.5 cm grain size on average with some plag crystals up to 1cm in length, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 32.306599, 0.10044, , , , , 
D6A-1171, 1171, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.5 to 0.7 cm grain size with some poikiocrysts and a general subophitic texture, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.605801, 0.19433, , , , , 
D6A-1140, 1140, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 1, 0.5 cm grain size on average with a subophitic texture and no obvious serpentinization, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.981449, 0.13233, 0.08014, , , , 
D6A-1110, 1110, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.3 to 0.5 cm grain size with some poikiocrysts and no serpentinization, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.42058, 0.22158, , , , , 
D6A-1108, 1108, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 1, 0.3  to 0.5 cm grain size with a serpentinite vein curtting through the center of the core section, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.816401, 0.1349, , 0.05033, serpentine chip, serpentine chip, 
D6A-1089, 1089, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.4 to 0.7 cm grain size with no serpentinization, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 32.25769, 0.19723, , , , , 
D6A-1050, 1050, full core core, MAIN AGT, AGT HOMOG, auite troctolite, 1, 0.2 to 0.5 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 32.187778, 0.20381, , , , , 
D6A-1025, 1025, full core core, MAIN AGT, AN TROCT HOMOG w/ FLUXION, anorthositic troctolite, 0, 0.2 to 0.4 cm grain size with a large percentage of plag, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 29.868259, 0.132, 0.12256, , , , 
D6A-1005, 1005, full core core, MAIN AGT, AN TROCT HOMOG w/ FLUXION, anorthositic troctolite, 0, 0.2 to 0.4 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 29.81599, 0.18905, 0.11672, , , , 
D6A-962, 962, core chip, MAIN AGT, AGT (AAT) HET, augite troctolite, 0, 0.5 cm grain size on average with a 1.5 cm wide seperentinization vein where the core chip was taken, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-NO, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, , 0.10202, 0.07186, 0.05622, , serpentine chip, 
D6A-953, 953, full core core, MAIN AGT, AGT (AAT) HET, augite troctolite, 0, 0.2 to 0.5 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.0263, 0.14226, , , , , 
D6A-902, 902, full core core, MAIN AGT, AGT HET (T/ORT/AT/AAT), anorthositic troctolite, 0, 0.3 to 0.5 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.073931, 0.19648, 0.24969, , , , 
D6A-852, 852, full core core, MAIN AGT, AGT HET (T/ORT/AT/AAT), augite troctolite, 0, 0.4 to 0.5 cm grain size mostly made of plag but containing large augites that can be up to 1.5 to 2 cm long, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 32.466911, 0.12879, , , , , 
D6A-800, 800, full core core, MAIN AGT, AGT HET (T), anorthositic troctolite, 0, 0.3 to 0.5 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.17001, 0.11613, , , , , 
D6A-775, 775, full core core, MAIN AGT, AGT (AAT) HET, augite troctolite, 0, 0.3 to 0.5 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.66663, 0.12194, , , , , 
D6A-754, 754, full core core, MAIN AGT, AGT (AAT) HET, augite troctolite, 1, 0.3 to 0.5 grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.11462, 0.08746, , , , , yes
D6A-713, 713, full core core, MAIN AGT, AGT (AAT) HET, augite troctolite, 1, 0.2 to 0.4 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 31.361719, 0.13596, , , , , 
D6A-653, 653, full core core, MAIN AGT, Vuggy GRANO (very light!), vuggy red rock, 0, 0.2 to 0.4 cm grain size and may be part of a xenolith, Felsic, Granophyre, Igneous:Intrusive, Intrusion, FS-C-DRILL:SO-V, 1106.9, 0.9, , , Ma, 10.1016/j.precamres.2007.02.019, 17.83325, 0.07917, 0.06857, , , , 
D6A-633, 633, full core core, MAIN AGT, AAT HOMOG, anorthositic troctolite, 1, 0.2 to 0.5 cm grain size with a lot of plag (>70%) and trace sulfides, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.556471, 0.10944, , , , , 
D6A-594, 594, full core core, MAIN AGT, AGT HOMOG (plag-rich), anorthositic trcotolite, 1, 0.2 to 0.4 cm grain size with a large amount of plag (>70%), AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.520769, 0.08982, , , , , 
D6A-555, 555, full core core, MAIN AGT, AGT HOMOG (plag-rich), anorthositic troctolite, 1, 0.1 to 0.4 cm grain size with trace sulfides and a large amount of plag (>70%), AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.39399, 0.15168, , , , , 
D6A-515, 515, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.2 to 0.4 cm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.558041, 0.09959, , , , , 
D6A-478, 478, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 0, 0.2 to 0.4 cm grain size with bands of augite-poor zones, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 30.480801, 0.13961, , , , , 
D6A-459, 459, full core core, MAIN AGT, AGT HOMOG, augite troctolite, 1, 0.3 to 0.5 gm grain size, AGT, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 29.165501, 0.16489, , , , , yes
D6A-420, 420, full core core, MAIN AGT, AGT HOMOG (Hem-stained), augite troctolite, 0, 0.3 to 0.8 cm grain size with hematite replacing olivines (showing a red-stained color of iddingsite) and a small serpentinized vein (0.3 cm in width), Felsic, Troctolite, Igneous:Intrusive, Layered Intrusion, FS-C-DRILL:SO-V, 1096.19, 0.095, , , Ma, 10.1130/G47873.1, 28.862341, 0.15339, 0.11762, 0.07917, , predominantly hematite, 
D6A-441, 441, full core core, MAIN AGT, AGT HOMOG/GRANOPHYRE, granophyre, 0, 1.4 mm grain size and deep reddish color, Felsic, Granophyre, Igneous:Intrusive, Intrusion, FS-C-DRILL:SO-V, 1106.9, 0.9, , , Ma, 10.1016/j.precamres.2007.02.019, 21.553301, 0.08787, , , , , 
D6A-397, 397, full core core, MAIN AGT, AGT HOMOG/GRANOPHYRE, granophyre, 0, 0.7 to 1 cm grain size and a lighter red color, Felsic, Granophyre, Igneous:Intrusive, Intrusion, FS-C-DRILL:SO-V, 1106.9, 0.9, , , Ma, 10.1016/j.precamres.2007.02.019, 24.46104, 0.09518, 0.08812, , , , 
